casino,month,year,table_games_win,slot_win,total_casino_win
HARD ROCK ATLANTIC CITY,September,2025,14315393,31117808,45433201
HARD ROCK ATLANTIC CITY,October,2025,10959095,31512419,42471514
HARD ROCK ATLANTIC CITY,November,2025,14593829,30737261,45331090
HARD ROCK ATLANTIC CITY,December,2025,11507389,28988948,40496337
HARRAH'S ATLANTIC CITY,January,2022,3818009,13313565,17388034
HARRAH'S ATLANTIC CITY,February,2022,3993919,15484489,19782712
HARRAH'S ATLANTIC CITY,March,2022,4073119,15641469,20010365
HARRAH'S ATLANTIC CITY,April,2022,3379226,19496056,23172402
HARRAH'S ATLANTIC CITY,May,2022,4717734,16254421,21243212
HARRAH'S ATLANTIC CITY,June,2022,4092231,15779863,20145201
HARRAH'S ATLANTIC CITY,July,2022,5764556,20374006,26432039
HARRAH'S ATLANTIC CITY,August,2022,4962328,19714095,24993072
HARRAH'S ATLANTIC CITY,September,2022,4574750,1850,23221473
HARRAH'S ATLANTIC CITY,October,2022,3766227,1850,20202944
HARRAH'S ATLANTIC CITY,November,2022,4405624,1850,21037442
HARRAH'S ATLANTIC CITY,December,2022,3707783,1850,20234884
HARRAH'S ATLANTIC CITY,January,2023,4732478,15148458,20154773
HARRAH'S ATLANTIC CITY,February,2023,4180544,16956975,21387053
HARRAH'S ATLANTIC CITY,March,2023,4359289,16005504,20622053
HARRAH'S ATLANTIC CITY,April,2023,4085569,17513289,21852768
HARRAH'S ATLANTIC CITY,May,2023,3623320,15158269,19047194
HARRAH'S ATLANTIC CITY,June,2023,4223203,16441144,20915117
HARRAH'S ATLANTIC CITY,July,2023,5696960,19230015,25229950
HARRAH'S ATLANTIC CITY,August,2023,5076404,19167307,24532895
HARRAH'S ATLANTIC CITY,September,2023,4181036,17783196,22233944
HARRAH'S ATLANTIC CITY,November,2023,3838285,15348802,19443782
HARRAH'S ATLANTIC CITY,December,2023,4063594,16541694,20859715
HARRAH'S ATLANTIC CITY,January,2024,3408031,12272939,15949106
HARRAH'S ATLANTIC CITY,February,2024,3675938,14329775,18241402
HARRAH'S ATLANTIC CITY,March,2024,4033477,16747272,21037177
HARRAH'S ATLANTIC CITY,April,2024,3532078,12673694,16409780
HARRAH'S ATLANTIC CITY,May,2024,3103170,14910009,18246631
HARRAH'S ATLANTIC CITY,June,2024,2831817,14626665,17672812
HARRAH'S ATLANTIC CITY,July,2024,3541212,15427684,19201323
HARRAH'S ATLANTIC CITY,August,2024,4540724,20325856,25110944
HARRAH'S ATLANTIC CITY,September,2024,3460406,14944794,18610188
HARRAH'S ATLANTIC CITY,October,2024,2538029,13021329,15752037
HARRAH'S ATLANTIC CITY,November,2024,3547805,14601451,18359891
HARRAH'S ATLANTIC CITY,December,2024,3709048,15355493,19287538
HARRAH'S ATLANTIC CITY,January,2025,4076406,12773328,17076683
HARRAH'S ATLANTIC CITY,February,2025,3195841,15024534,18406403
HARRAH'S ATLANTIC CITY,March,2025,3759303,17039238,21016824
HARRAH'S ATLANTIC CITY,April,2025,2624113,13519715,16333628
HARRAH'S ATLANTIC CITY,May,2025,3262719,16453083,19939634
HARRAH'S ATLANTIC CITY,June,2025,2930157,13981477,17108500
HARRAH'S ATLANTIC CITY,July,2025,4039213,16129903,20424098
HARRAH'S ATLANTIC CITY,August,2025,4541607,21230700,26489064
HARRAH'S ATLANTIC CITY,September,2025,2407214,13774358,16384600
HARRAH'S ATLANTIC CITY,October,2025,3157172,14114595,17478591
HARRAH'S ATLANTIC CITY,November,2025,3680360,14482738,18381402
HARRAH'S ATLANTIC CITY,December,2025,2103669,13663198,15968723
HARRAH'S ATLANTIC CITY,,2023,3420569,14145288,17807644
OCEAN CASINO RESORT,January,2022,7233158,16908571,24141729
OCEAN CASINO RESORT,February,2022,10081264,19613133,29694397
OCEAN CASINO RESORT,March,2022,5528687,19891967,25420654
OCEAN CASINO RESORT,April,2022,6161488,20080583,26242071
OCEAN CASINO RESORT,May,2022,4444231,20911466,25355697
OCEAN CASINO RESORT,June,2022,7814714,21855700,29670414
OCEAN CASINO RESORT,July,2022,12817265,27553500,40370765
OCEAN CASINO RESORT,August,2022,9617133,26942052,36559185
OCEAN CASINO RESORT,September,2022,6471242,24120185,30591427
OCEAN CASINO RESORT,October,2022,7669764,20634604,28304368
OCEAN CASINO RESORT,November,2022,9609650,21374931,30984581
OCEAN CASINO RESORT,December,2022,8102898,21387217,29490115
OCEAN CASINO RESORT,January,2023,11213974,19310273,30524247
OCEAN CASINO RESORT,February,2023,5473794,20820200,26293994
OCEAN CASINO RESORT,March,2023,12152642,22452590,34605232
OCEAN CASINO RESORT,April,2023,12197160,22004550,34201710
OCEAN CASINO RESORT,May,2023,6424811,23325676,29750487
OCEAN CASINO RESORT,June,2023,8153861,26730394,34884255
OCEAN CASINO RESORT,July,2023,8478050,29241071,37719121
OCEAN CASINO RESORT,August,2023,10513314,29015033,39528347
OCEAN CASINO RESORT,September,2023,13629707,25897318,39527025
OCEAN CASINO RESORT,October,2023,18972198,24424188,43396386
OCEAN CASINO RESORT,November,2023,6848838,24576291,31425129
OCEAN CASINO RESORT,December,2023,8431772,24704831,33136603
OCEAN CASINO RESORT,January,2024,11612284,21453258,33065542
OCEAN CASINO RESORT,February,2024,7876479,23184966,31061445
OCEAN CASINO RESORT,March,2024,15069152,25629692,40698844
OCEAN CASINO RESORT,April,2024,7041346,21841116,28882462
OCEAN CASINO RESORT,May,2024,4079926,27904021,31983947
OCEAN CASINO RESORT,June,2024,6156046,27321406,33477452
OCEAN CASINO RESORT,July,2024,6616122,29865050,36481172
OCEAN CASINO RESORT,August,2024,12120276,31923363,44043639
OCEAN CASINO RESORT,September,2024,4092277,24362946,28455223
OCEAN CASINO RESORT,October,2024,9505288,23352661,32857949
OCEAN CASINO RESORT,November,2024,8201876,25801992,34003868
OCEAN CASINO RESORT,December,2024,7787019,26892025,34679044
OCEAN CASINO RESORT,January,2025,13437426,21742896,35180322
OCEAN CASINO RESORT,February,2025,10008167,22385416,32393583
OCEAN CASINO RESORT,March,2025,8841515,25843086,34684601
OCEAN CASINO RESORT,April,2025,5977368,24636951,30614319
OCEAN CASINO RESORT,May,2025,12052625,30237289,42289914
OCEAN CASINO RESORT,June,2025,14006551,29540710,43547261
OCEAN CASINO RESORT,July,2025,10919112,32214930,43134042
OCEAN CASINO RESORT,August,2025,15705864,35458777,51164641
OCEAN CASINO RESORT,September,2025,13685844,25956968,39642812
OCEAN CASINO RESORT,October,2025,12787062,26640630,39427692
OCEAN CASINO RESORT,November,2025,11876986,27127226,39004212
OCEAN CASINO RESORT,December,2025,10188185,26827071,37015256
RESORTS CASINO HOTEL,January,2022,1785495,7464248,9249743
RESORTS CASINO HOTEL,February,2022,2757268,10153214,12910482
RESORTS CASINO HOTEL,March,2022,3037999,9962464,13000463
RESORTS CASINO HOTEL,April,2022,3277115,11049135,14326250
RESORTS CASINO HOTEL,May,2022,2942637,11204971,14147608
RESORTS CASINO HOTEL,June,2022,2214029,11501529,13715558
RESORTS CASINO HOTEL,July,2022,3361331,14780010,18141341
RESORTS CASINO HOTEL,August,2022,3726830,14731946,18458776
RESORTS CASINO HOTEL,September,2022,3642230,13078336,16720566
RESORTS CASINO HOTEL,October,2022,2447238,10459106,12906344
RESORTS CASINO HOTEL,November,2022,3116331,9407124,12523455
RESORTS CASINO HOTEL,December,2022,3296569,7941178,11237747
RESORTS CASINO HOTEL,January,2023,2568480,8540535,11109015
