casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
CAESARS ATLANTIC CITY,November,2023,55254,,55254
CAESARS ATLANTIC CITY,December,2023,97465,,97465
CAESARS ATLANTIC CITY,January,2024,388868,,388868
CAESARS ATLANTIC CITY,February,2024,128199,,128199
CAESARS ATLANTIC CITY,March,2024,52259,,52259
CAESARS ATLANTIC CITY,April,2024,70321,,70321
CAESARS ATLANTIC CITY,May,2024,371813,,371813
CAESARS ATLANTIC CITY,June,2024,54653,,54653
CAESARS ATLANTIC CITY,July,2024,5131,,5131
CAESARS ATLANTIC CITY,August,2024,77193,,77193
CAESARS ATLANTIC CITY,September,2024,2890,,2890
CAESARS ATLANTIC CITY,October,2024,12740,,12740
CAESARS ATLANTIC CITY,November,2024,9116,,9116
CAESARS ATLANTIC CITY,December,2024,2289,,2289
CAESARS ATLANTIC CITY,January,2025,60629,,60629
CAESARS ATLANTIC CITY,February,2025,3308,,3308
CAESARS ATLANTIC CITY,March,2025,2631,,2631
CAESARS ATLANTIC CITY,April,2025,9956,,9956
CAESARS ATLANTIC CITY,May,2025,1494,,1494
CAESARS ATLANTIC CITY,June,2025,133841,,133841
CAESARS ATLANTIC CITY,July,2025,37568,,37568
CAESARS ATLANTIC CITY,August,2025,82348,,82348
CAESARS ATLANTIC CITY,September,2025,36727,,36727
CAESARS ATLANTIC CITY,October,2025,52571,,52571
CAESARS ATLANTIC CITY,November,2025,156492,,156492
CAESARS ATLANTIC CITY,December,2025,88217,,88217
GOLDEN NUGGET,January,2022,5415,,5415
GOLDEN NUGGET,February,2022,,,0
GOLDEN NUGGET,March,2022,328,,328
GOLDEN NUGGET,April,2022,,,0
GOLDEN NUGGET,May,2022,59545,140014,199559
GOLDEN NUGGET,June,2022,42005,76883,118888
GOLDEN NUGGET,July,2022,17785,117403,135188
GOLDEN NUGGET,August,2022,54074,143494,197568
GOLDEN NUGGET,September,2022,84899,139198,224097
GOLDEN NUGGET,October,2022,101735,122766,224501
GOLDEN NUGGET,November,2022,33252,9233,42485
GOLDEN NUGGET,December,2022,2189,5892,8081
GOLDEN NUGGET,January,2023,506,29171,29677
GOLDEN NUGGET,February,2023,87333,12618,99951
GOLDEN NUGGET,March,2023,6227,7806,14033
GOLDEN NUGGET,April,2023,574,734,1308
GOLDEN NUGGET,May,2023,6535,2982,9517
GOLDEN NUGGET,June,2023,4178,2484,6662
GOLDEN NUGGET,July,2023,9123,67163,76286
GOLDEN NUGGET,August,2023,18719,35409,54128
GOLDEN NUGGET,September,2023,9924,8054,17978
GOLDEN NUGGET,October,2023,7454,129175,136629
GOLDEN NUGGET,November,2023,20154,25436,45590
GOLDEN NUGGET,December,2023,5923,5653,11576
GOLDEN NUGGET,January,2024,6384,67472,73856
GOLDEN NUGGET,February,2024,479,158683,159162
GOLDEN NUGGET,March,2024,66587,115887,182474
GOLDEN NUGGET,April,2024,14226,130497,144723
GOLDEN NUGGET,May,2024,9608,117625,127233
GOLDEN NUGGET,June,2024,3938,65317,69255
GOLDEN NUGGET,July,2024,2909,5897,8806
GOLDEN NUGGET,August,2024,29851,,29851
GOLDEN NUGGET,September,2024,8807,9215,18022
GOLDEN NUGGET,October,2024,44229,,44229
GOLDEN NUGGET,November,2024,2141,1400,3541
GOLDEN NUGGET,December,2024,3369,,3369
GOLDEN NUGGET,January,2025,,,0
GOLDEN NUGGET,February,2025,884,,884
GOLDEN NUGGET,March,2025,126903,,126903
GOLDEN NUGGET,April,2025,9901,,9901
GOLDEN NUGGET,May,2025,1525,,1525
GOLDEN NUGGET,June,2025,29942,,29942
GOLDEN NUGGET,July,2025,95330,,95330
GOLDEN NUGGET,August,2025,19829,,19829
GOLDEN NUGGET,September,2025,5158,,5158
GOLDEN NUGGET,October,2025,111885,,111885
GOLDEN NUGGET,November,2025,93262,,93262
GOLDEN NUGGET,December,2025,57396,,57396
HARD ROCK ATLANTIC CITY,January,2022,121215,1060561,1181776
HARD ROCK ATLANTIC CITY,February,2022,10332,1312344,1322676
HARD ROCK ATLANTIC CITY,March,2022,146605,743064,889669
HARD ROCK ATLANTIC CITY,April,2022,,1536413,1536413
HARD ROCK ATLANTIC CITY,May,2022,88555,1267407,1355962
HARD ROCK ATLANTIC CITY,June,2022,112723,1447555,1560278
HARD ROCK ATLANTIC CITY,July,2022,40122,1231531,1271653
HARD ROCK ATLANTIC CITY,August,2022,140177,183352,323529
HARD ROCK ATLANTIC CITY,September,2022,93941,747376,841317
HARD ROCK ATLANTIC CITY,October,2022,40362,98567,138929
HARD ROCK ATLANTIC CITY,November,2022,22991,31845,54836
HARD ROCK ATLANTIC CITY,February,2023,8067,176330,184397
HARD ROCK ATLANTIC CITY,March,2023,9886,909268,919154
HARD ROCK ATLANTIC CITY,April,2023,3371,970798,974169
HARD ROCK ATLANTIC CITY,May,2023,8219,605844,614063
HARD ROCK ATLANTIC CITY,June,2023,3347,393169,396516
